Campeonato: French Ligue 1 2025/26 | Rodada 5 | Data: 2025-09-21 | Horário: 17:15 | Jogo: AS Monaco FC vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 5 | Data: 2025-09-22 | Horário: 20:00 | Jogo: Olympique de Marseille vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-26 | Horário: 20:45 | Jogo: RC Strasbourg Alsace vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-27 | Horário: 17:00 | Jogo: FC Lorient vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-27 | Horário: 19:00 | Jogo: Toulouse FC vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-27 | Horário: 21:05 | Jogo: Paris Saint-Germain FC vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-28 | Horário: 15:00 | Jogo: OGC Nice vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-28 | Horário: 17:15 | Jogo: FC Metz vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-28 | Horário: 17:15 | Jogo: Lille OSC vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-28 | Horário: 17:15 | Jogo: Angers SCO vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 6 | Data: 2025-09-28 | Horário: 20:45 | Jogo: Stade Rennais FC 1901 vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-03 | Horário: 20:45 | Jogo: Paris FC vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-04 | Horário: 17:00 | Jogo: FC Metz vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-04 | Horário: 19:00 | Jogo: Stade Brestois 29 vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-04 | Horário: 21:05 | Jogo: AJ Auxerre vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-05 | Horário: 15:00 | Jogo: Olympique Lyonnais vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-05 | Horário: 17:15 | Jogo: RC Strasbourg Alsace vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-05 | Horário: 17:15 | Jogo: Le Havre AC vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-05 | Horário: 17:15 | Jogo: AS Monaco FC vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 7 | Data: 2025-10-05 | Horário: 20:45 | Jogo: Lille OSC vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-17 | Horário: 20:45 | Jogo: Paris Saint-Germain FC vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-18 | Horário: 17:00 | Jogo: OGC Nice vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-18 | Horário: 19:00 | Jogo: Angers SCO vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-18 | Horário: 21:05 | Jogo: Olympique de Marseille vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-19 | Horário: 15:00 | Jogo: Racing Club de Lens vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-19 | Horário: 17:15 | Jogo: FC Lorient vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-19 | Horário: 17:15 | Jogo: Toulouse FC vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-19 | Horário: 17:15 | Jogo: Stade Rennais FC 1901 vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 8 | Data: 2025-10-19 | Horário: 20:45 | Jogo: FC Nantes vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-24 | Horário: 20:45 | Jogo: Paris FC vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-25 | Horário: 17:00 | Jogo: Stade Brestois 29 vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-25 | Horário: 19:00 | Jogo: AS Monaco FC vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-25 | Horário: 21:05 | Jogo: Racing Club de Lens vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-26 | Horário: 15:00 | Jogo: Lille OSC vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-26 | Horário: 17:15 | Jogo: AJ Auxerre vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-26 | Horário: 17:15 | Jogo: Angers SCO vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-26 | Horário: 17:15 | Jogo: Stade Rennais FC 1901 vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 9 | Data: 2025-10-26 | Horário: 20:45 | Jogo: Olympique Lyonnais vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 19:00 | Jogo: Le Havre AC vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 19:00 | Jogo: FC Lorient vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 19:00 | Jogo: FC Metz vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 19:00 | Jogo: OGC Nice vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 21:05 | Jogo: FC Nantes vs AS Monaco FC
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 21:05 | Jogo: Paris FC vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 21:05 | Jogo: Toulouse FC vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 21:05 | Jogo: Olympique de Marseille vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 10 | Data: 2025-10-29 | Horário: 21:05 | Jogo: RC Strasbourg Alsace vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-01 | Horário: 17:00 | Jogo: Paris Saint-Germain FC vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-01 | Horário: 19:00 | Jogo: AS Monaco FC vs Paris FC
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-01 | Horário: 21:05 | Jogo: AJ Auxerre vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-02 | Horário: 15:00 | Jogo: Stade Rennais FC 1901 vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-02 | Horário: 17:15 | Jogo: FC Nantes vs FC Metz
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-02 | Horário: TBD | Jogo: Toulouse FC vs Le Havre AC
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-02 | Horário: 17:15 | Jogo: Lille OSC vs Angers SCO
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-02 | Horário: 17:15 | Jogo: Racing Club de Lens vs FC Lorient
Campeonato: French Ligue 1 2025/26 | Rodada 11 | Data: 2025-11-02 | Horário: 20:45 | Jogo: Stade Brestois 29 vs Olympique Lyonnais
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-07 | Horário: 20:45 | Jogo: Paris FC vs Stade Rennais FC 1901
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-08 | Horário: 17:00 | Jogo: Olympique de Marseille vs Stade Brestois 29
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-08 | Horário: 19:00 | Jogo: Le Havre AC vs FC Nantes
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-08 | Horário: 21:05 | Jogo: AS Monaco FC vs Racing Club de Lens
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-09 | Horário: 15:00 | Jogo: FC Lorient vs Toulouse FC
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-09 | Horário: 17:15 | Jogo: FC Metz vs OGC Nice
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-09 | Horário: 17:15 | Jogo: RC Strasbourg Alsace vs Lille OSC
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-09 | Horário: 17:15 | Jogo: Angers SCO vs AJ Auxerre
Campeonato: French Ligue 1 2025/26 | Rodada 12 | Data: 2025-11-09 | Horário: 20:45 | Jogo: Olympique Lyonnais vs Paris Saint-Germain FC
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-21 | Horário: 20:45 | Jogo: OGC Nice vs Olympique de Marseille
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-22 | Horário: 17:00 | Jogo: Racing Club de Lens vs RC Strasbourg Alsace
Campeonato: French Ligue 1 2025/26 | Rodada 13 | Data: 2025-11-22 | Horário: 19:00 | Jogo: Stade Rennais FC 1901 vs AS Monaco FC
